DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|40|10
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|51|3
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|18|84
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|23|32
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|41|12
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|22|34
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|47|2
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|50|3
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|66|1
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|24|27
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|42|18
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|38|19
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|37|16
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|54|3
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|61|3
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|32|15
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|60|2
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|52|1
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|45|5
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|55|2
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|44|9
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|31|20
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|62|2
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|33|19
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|21|70
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|36|15
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|30|32
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|27|34
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|35|17
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|49|4
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|46|4
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|56|1
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|57|2
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|19|467
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|43|4
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|28|25
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|26|44
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|34|17
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|25|37
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|29|17
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|58|2
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|48|4
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|39|15
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|53|3
2021-02|02|WOJ. DOLNOŒL¥SKIE|K|20|140
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|31|16
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|21|56
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|24|22
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|37|11
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|46|6
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|39|8
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|34|16
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|18|106
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|33|10
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|41|6
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|70|1
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|28|19
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|50|1
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|42|4
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|23|28
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|26|19
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|27|16
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|54|2
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|40|5
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|45|4
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|43|3
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|52|2
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|53|1
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|17|2
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|49|3
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|15|1
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|19|492
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|30|15
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|20|98
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|35|15
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|55|1
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|32|9
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|38|11
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|36|13
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|47|2
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|44|1
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|69|1
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|60|1
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|25|22
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|48|2
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|51|2
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|62|1
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|22|38
2021-02|02|WOJ. DOLNOŒL¥SKIE|M|29|11
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|47|3
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|44|2
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|30|11
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|31|11
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|52|4
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|33|15
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|22|24
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|24|21
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|37|10
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|50|6
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|61|1
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|34|6
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|36|7
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|27|20
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|32|11
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|35|6
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|41|5
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|45|2
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|46|3
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|54|1
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|57|1
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|51|2
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|49|3
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|56|2
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|19|372
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|38|7
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|28|16
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|29|5
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|60|2
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|53|1
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|58|1
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|20|66
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|23|19
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|39|4
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|21|34
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|26|16
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|18|73
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|48|2
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|40|5
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|55|1
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|42|11
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|25|22
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|K|43|7
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|26|10
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|39|5
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|45|2
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|41|4
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|19|387
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|20|74
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|18|91
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|28|12
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|17|8
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|40|7
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|50|1
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|48|2
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|53|1
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|43|2
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|23|8
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|46|1
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|31|6
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|30|10
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|36|5
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|47|2
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|35|3
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|22|22
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|24|10
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|42|2
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|37|6
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|55|1
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|29|8
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|44|3
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|25|17
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|32|5
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|33|8
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|51|1
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|34|12
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|38|5
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|21|28
2021-02|04|WOJ. KUJAWSKO-POMORSKIE|M|27|11
2021-02|06|WOJ. LUBELSKIE|K|27|28
2021-02|06|WOJ. LUBELSKIE|K|40|5
2021-02|06|WOJ. LUBELSKIE|K|25|23
2021-02|06|WOJ. LUBELSKIE|K|38|5
2021-02|06|WOJ. LUBELSKIE|K|41|4
2021-02|06|WOJ. LUBELSKIE|K|53|2
2021-02|06|WOJ. LUBELSKIE|K|46|2
2021-02|06|WOJ. LUBELSKIE|K|18|162
2021-02|06|WOJ. LUBELSKIE|K|26|22
2021-02|06|WOJ. LUBELSKIE|K|31|17
2021-02|06|WOJ. LUBELSKIE|K|37|10
2021-02|06|WOJ. LUBELSKIE|K|55|1
2021-02|06|WOJ. LUBELSKIE|K|42|3
2021-02|06|WOJ. LUBELSKIE|K|52|2
2021-02|06|WOJ. LUBELSKIE|K|44|3
2021-02|06|WOJ. LUBELSKIE|K|35|6
2021-02|06|WOJ. LUBELSKIE|K|19|362
2021-02|06|WOJ. LUBELSKIE|K|22|23
2021-02|06|WOJ. LUBELSKIE|K|49|2
2021-02|06|WOJ. LUBELSKIE|K|29|13
2021-02|06|WOJ. LUBELSKIE|K|32|9
2021-02|06|WOJ. LUBELSKIE|K|16|1
2021-02|06|WOJ. LUBELSKIE|K|54|2
2021-02|06|WOJ. LUBELSKIE|K|39|8
2021-02|06|WOJ. LUBELSKIE|K|28|17
2021-02|06|WOJ. LUBELSKIE|K|33|10
2021-02|06|WOJ. LUBELSKIE|K|20|92
2021-02|06|WOJ. LUBELSKIE|K|58|1
2021-02|06|WOJ. LUBELSKIE|K|48|4
2021-02|06|WOJ. LUBELSKIE|K|47|5
2021-02|06|WOJ. LUBELSKIE|K|63|1
2021-02|06|WOJ. LUBELSKIE|K|34|15
2021-02|06|WOJ. LUBELSKIE|K|45|5
2021-02|06|WOJ. LUBELSKIE|K|43|7
2021-02|06|WOJ. LUBELSKIE|K|59|1
2021-02|06|WOJ. LUBELSKIE|K|60|1
2021-02|06|WOJ. LUBELSKIE|K|61|1
2021-02|06|WOJ. LUBELSKIE|K|24|22
2021-02|06|WOJ. LUBELSKIE|K|56|1
2021-02|06|WOJ. LUBELSKIE|K|57|1
2021-02|06|WOJ. LUBELSKIE|K|51|3
2021-02|06|WOJ. LUBELSKIE|K|21|43
2021-02|06|WOJ. LUBELSKIE|K|23|26
2021-02|06|WOJ. LUBELSKIE|K|30|15
2021-02|06|WOJ. LUBELSKIE|K|36|12
2021-02|06|WOJ. LUBELSKIE|M|28|12
2021-02|06|WOJ. LUBELSKIE|M|35|10
2021-02|06|WOJ. LUBELSKIE|M|46|4
2021-02|06|WOJ. LUBELSKIE|M|52|1
2021-02|06|WOJ. LUBELSKIE|M|37|9
2021-02|06|WOJ. LUBELSKIE|M|43|3
2021-02|06|WOJ. LUBELSKIE|M|29|5
2021-02|06|WOJ. LUBELSKIE|M|18|185
2021-02|06|WOJ. LUBELSKIE|M|32|7
2021-02|06|WOJ. LUBELSKIE|M|23|10
2021-02|06|WOJ. LUBELSKIE|M|44|4
2021-02|06|WOJ. LUBELSKIE|M|34|6
2021-02|06|WOJ. LUBELSKIE|M|56|1
2021-02|06|WOJ. LUBELSKIE|M|51|1
2021-02|06|WOJ. LUBELSKIE|M|33|8
2021-02|06|WOJ. LUBELSKIE|M|25|12
2021-02|06|WOJ. LUBELSKIE|M|47|2
